Evidence ID,Citation Label,Paper Title,Author Names,Publication Year,Publication Type,Publication Title,Pub Family,DOI,Paper Link,Study Type,Tools Evaluated,Research Questions Addressed,Evaluation Metrics,Key Findings,Main Benefits Reported,venue_tier,overall_score2
E035,Umut Cihan Arda İçöz Vahid Haratian Eray Tüzün (2025) [E035],Evaluating Large Language Models for Code Review,"Umut Cihan
Arda İçöz
Vahid Haratian
Eray Tüzün",2025.0,Journal Article,,arXiv,10.48550/arxiv.2505.20206,https://scispace.com/paper/evaluating-large-language-models-for-code-review-st0ibjr4yy93,Controlled Experiment,"GPT4o, Gemini 2.0 Flash","RQ2, RQ5, RQ6","detecting code correctness, suggesting improvements, correctly classified code correctness, corrected the code","*   LLMs correctly classified code correctness 68.50% (GPT4o) and 63.89% (Gemini 2.0 Flash).
*   LLMs corrected code 67.83% (GPT4o) and 54.26% (Gemini 2.0 Flash) with problem descriptions.
*   LLM code reviews can help, but carry a risk of faulty outputs.","Suggest improvements, Assess correctness",Preprint,111.1
E036,Sayan Chatterjee Ching Louis Liu Gareth Rowland Tim Hogarth (2024) [E036],The Impact of AI Tool on Engineering at ANZ Bank An Emperical Study on GitHub Copilot within Coporate Environment,"Sayan Chatterjee
Ching Louis Liu
Gareth Rowland
Tim Hogarth",2024.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2402.05636,https://scispace.com/paper/the-impact-of-ai-tool-on-engineering-at-anz-bank-an-4zq1l66pkq,Controlled Experiment,GitHub Copilot,"RQ1, RQ2, RQ5, RQ6","Productivity, Code quality, Security, Participant sentiment, Job satisfaction","*   GitHub Copilot notably boosted productivity and code quality.
*   Impact on code security remained inconclusive.
*   Early data indicated increased productivity and job satisfaction among engineers.","Notable boost in productivity, notable boost in code quality, significant increase in productivity, increased job satisfaction, overall positive participant responses",Preprint,111.1
E037,Markus Borg D.W. Hewett Donald R. Graham Noric Couderc Emma Söderberg Luke Church Dave Farley (2024) [E037],"Does Co-Development with AI Assistants Lead to More Maintainable Code? A
  Registered Report","Markus Borg
D.W. Hewett
Donald R. Graham
Noric Couderc
Emma Söderberg
Luke Church
Dave Farley",2024.0,Journal Article,,arXiv,10.48550/arxiv.2408.10758,https://scispace.com/paper/does-co-development-with-ai-assistants-lead-to-more-5qhm4fpmruz9,Controlled Experiment,GitHub Copilot,"RQ1, RQ2, RQ6","completion time, perceived productivity, code quality, test coverage","• This is a registered report outlining a study plan, not presenting findings.
• The study aims to examine AI assistants' influence on software maintainability.
• It will evaluate completion time, perceived productivity, code quality, and test coverage.",Not reported,Preprint,110.8
E038,Sangwon Hyun Hyunjun Kim Jinhyuk Jang Hyojin Choi M. A. Babar (2025) [E038],Experimental Analysis of Productive Interaction Strategy with ChatGPT: User Study on Function and Project-level Code Generation Tasks,"Sangwon Hyun
Hyunjun Kim
Jinhyuk Jang
Hyojin Choi
M. A. Babar",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2508.04125,https://scispace.com/paper/experimental-analysis-of-productive-interaction-strategy-osa8fnzztsn3,Controlled Experiment,"ChatGPT, GPT assistant","RQ1, RQ6, RQ7","Productivity in code generation, HLI features, runtime errors, logic errors","• Three out of 15 HLI features significantly impacted code generation productivity.
• Five primary guidelines were identified for enhancing HLI process productivity.
• A taxonomy of 29 runtime and logic errors with mitigation plans was developed.",Enhanced productivity in code generation,Preprint,110.6
E040,Viktoria Stray Astri Barbala Viggo Tellefsen Wivestad (2025) [E040],Human-AI Collaboration in Software Development: A Mixed-Methods Study of Developers’ Use of GitHub Copilot and ChatGPT,"Viktoria Stray
Astri Barbala
Viggo Tellefsen Wivestad",2025.0,Journal Article,,ACM,10.1145/3696630.3730566,https://scispace.com/paper/human-ai-collaboration-in-software-development-a-mixed-q7o3qtlrfj2d,Mixed Methods,"GitHub Copilot, ChatGPT","RQ1, RQ2, RQ4, RQ5, RQ6",Not specified,"• Compatibility within existing workflows is crucial for effective GenAI tool utilization.
• Individual, technological, and social factors influence GenAI tool adoption.
• Organizational support and collective user patterns are important for adoption.","Enhanced productivity, Code quality",Unclear,110.5
E039,Maximilian Schreiber Pascal Tippe (2025) [E039],Security Vulnerabilities in AI-Generated Code: A Large-Scale Analysis of Public GitHub Repositories,"Maximilian Schreiber
Pascal Tippe",2025.0,Journal Article,Lecture Notes in Computer Science,Springer,10.1007/978-981-95-3537-8_9,https://scispace.com/paper/security-vulnerabilities-in-ai-generated-code-a-large-scale-10vyp5gh8odz,Observational Study,"ChatGPT, GitHub Copilot, Amazon CodeWhisperer, Tabnine",RQ5,"Common Weakness Enumeration (CWE) instances, vulnerability types, vulnerability rates, security density (LOC per CWE)","• 4,241 security vulnerabilities (CWE instances) found in AI-generated code.
• Python code showed higher vulnerability rates than JavaScript and TypeScript.
• AI tools exhibited varying security performance across different programming languages.
• AI tools are widely used for documentation generation (39% of files).",Not reported,Unclear,110.5
E041,Kim Kwee Ng Liyana Fauzi Leon Leow J Ng (2024) [E041],"Harnessing the Potential of Gen-AI Coding Assistants in Public Sector
  Software Development","Kim Kwee Ng
Liyana Fauzi
Leon Leow
J Ng",2024.0,Journal Article,,arXiv,10.48550/arxiv.2409.17434,https://scispace.com/paper/harnessing-the-potential-of-gen-ai-coding-assistants-in-2bho3vks8rk7,Observational Study,"GitHub Copilot, Codeium, Code Llama","RQ1, RQ2, RQ4, RQ5","Productivity (coding / tasks speed), Application quality, Developer satisfaction, Efficiency gains, Coding times, Code quality","• AI Code Assistants boost public sector developer productivity (21-28% increase) and application quality.
• 95% consensus on increased developer satisfaction, especially for junior developers.
• Recommends an AI Framework, but cautions against over-reliance without foundational skills.","Increased productivity, improved application quality, accelerated development, quicker go-to-market, increased developer satisfaction, efficiency gains for junior developers, reduced coding times, enhanced job satisfaction, sharper focus on complex projects, faster learning, improved code quality",Preprint,110.4
E042,Venkatesan S Shukla (2025) [E042],The Hidden Risks of LLM-Generated Web Application Code: A Security-Centric Evaluation of Code Generation Capabilities in Large Language Models,"Venkatesan S
Shukla, Sandeep Kumar",2025.0,Journal Article,,arXiv,10.48550/arxiv.2504.20612,https://scispace.com/paper/the-hidden-risks-of-llm-generated-web-application-code-a-61tpw521uryw,Observational Study,"ChatGPT, DeepSeek, Claude, Gemini, Grok",RQ5,"Security compliance, Critical vulnerabilities (authentication mechanisms, session management, input validation, HTTP security headers)","*   LLM-generated code, despite productivity gains, has critical vulnerabilities.
*   Vulnerabilities include authentication, session management, input validation, and HTTP security.
*   No LLM fully aligns with industry best practices, requiring human expertise and security frameworks.","Minimized time and effort for coding, enhanced developer productivity",Preprint,110.2
E043,nan (2023) [E043],"Large Language Models and Simple, Stupid Bugs",,2023.0,Posted Content,,arXiv,10.48550/arxiv.2303.11455,https://scispace.com/paper/large-language-models-and-simple-stupid-bugs-e0dd9dbt,Observational Study,"Copilot, Codex","RQ2, RQ5","Generation of single statement bugs (SStuBs), Production of known, verbatim SStuBs, Production of known, verbatim correct code, Production of known, verbatim fixes","• Codex and similar LLMs help avoid some SStuBs.
• Codex produces known SStuBs up to 2x more likely than correct code.
• Avoidance strategies can reduce SStuB production and increase correct fixes.",Help avoid some SStuBs,Preprint,110.1
E044,Paul C. Denny Viraj Kumar Nasser Giacaman (2022) [E044],Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language,"Paul C. Denny
Viraj Kumar
Nasser Giacaman",2022.0,Proceedings Article,Technical Symposium on Computer Science Education,ACM,10.1145/3545945.3569823,https://scispace.com/paper/conversing-with-copilot-exploring-prompt-engineering-for-1mual33q,Observational Study,"GitHub Copilot, OpenAI Codex",Not available in metadata.,"Problem-solving success, Successful problem solution","• Copilot solves about half of 166 problems on its first attempt.
• It solves 60% of remaining problems using natural language changes.
• Prompt engineering is a useful learning activity promoting computational thinking.","Successfully solves around half of problems on first attempt, solves 60% of remaining problems using natural language changes, potentially useful learning activity, promotes computational thinking skills, likely to change nature of code writing skill development",Unclear,109.9
E045,Gal Bakal Ali Dasdan Y. Katz Michael Kaufman G. V. Levin (2025) [E045],Experience with GitHub Copilot for Developer Productivity at Zoominfo,"Gal Bakal
Ali Dasdan
Y. Katz
Michael Kaufman
G. V. Levin",2025.0,Journal Article,,arXiv,10.48550/arxiv.2501.13282,https://scispace.com/paper/experience-with-github-copilot-for-developer-productivity-at-6sb5fdbgdo4n,Mixed Methods,GitHub Copilot,"RQ1, RQ3, RQ4, RQ5, RQ6","Acceptance rates of suggestions, acceptance rates of lines of code, developer satisfaction scores","• GitHub Copilot suggestions had an average acceptance rate of 33% and 20% for lines of code.
• Developer satisfaction scores were high at 72%.
• The study discusses language-specific performance variations, limitations, and lessons learned.","High developer satisfaction scores of 72%, 33% acceptance rate for suggestions, 20% acceptance rate for lines of code",Preprint,109.8
E046,Emir Bosnak Sahand Moslemi Mayasah Lami Anil Koyuncu (2025) [E046],Explicit Vulnerability Generation with LLMs: An Investigation Beyond Adversarial Attacks,"Emir Bosnak
Sahand Moslemi
Mayasah Lami
Anil Koyuncu",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2507.10054,https://scispace.com/paper/explicit-vulnerability-generation-with-llms-an-investigation-cdaeurve5ydt,Controlled Experiment,"Qwen2, Mistral, Gemma","RQ5, RQ6","Presence of vulnerabilities, Correctness of the generated vulnerability type, Vulnerability reproduction accuracy, Vulnerability rates, Correctness rates, Cyclomatic complexity""","*   All evaluated open-source LLMs frequently produce vulnerable code outputs.
*   User persona significantly impacts vulnerability rates, with student personas achieving higher rates.
*   The study exposes limitations of safety mechanisms in open-source models, even for educational requests.",Not reported,Preprint,109.8
E047,Wei Wang Hongli Ning Gaowei Zhang Libo Liu Yi Wang (2024) [E047],"Rocks Coding, Not Development: A Human-Centric, Experimental Evaluation of LLM-Supported SE Tasks","Wei Wang
Hongli Ning
Gaowei Zhang
Libo Liu
Yi Wang",2024.0,Journal Article,,ACM,10.1145/3643758,https://scispace.com/paper/rocks-coding-not-development-a-human-centric-experimental-47grqizeic,Controlled Experiment,ChatGPT,"RQ1, RQ6",Not specified,"• ChatGPT excels at solving simple coding problems.
• Its performance in typical software development tasks is not good.
• Novel interaction mechanisms are needed for effective LLM-developer collaboration.",ChatGPT performed well in solving simple coding problems.,Unclear,109.8
E048,Shuang Li Yuntao Cheng Jinfu Chen Jifeng Xuan Sen He Weiyi Shang (2024) [E048],Assessing the Performance of AI-Generated Code: A Case Study on GitHub Copilot,"Shuang Li
Yuntao Cheng
Jinfu Chen
Jifeng Xuan
Sen He
Weiyi Shang",2024.0,Journal Article,,IEEE,10.1109/issre62328.2024.00030,https://scispace.com/paper/assessing-the-performance-of-ai-generated-code-a-case-study-3py1f6975s66,Case Study,GitHub Copilot,"RQ2, RQ5, RQ6","Functional correctness, Performance regressions, Inefficient function calls, Inefficient looping, Inefficient algorithm, Inefficient use of language features","• AI-generated code is often functionally correct but frequently shows performance regressions compared to human-written code.
• Performance regressions are attributed to inefficient function calls, looping, algorithms, and language features.
• Meticulous prompt engineering can enhance the performance of AI-generated code.","Transforming code generation processes, numerous advantages for software development",Unclear,109.8
E049,nan (2023) [E049],"Exploring the Robustness of Large Language Models for Solving
  Programming Problems",,2023.0,Posted Content,,arXiv,10.48550/arxiv.2306.14583,https://scispace.com/paper/exploring-the-robustness-of-large-language-models-for-u7akqk6d,Controlled Experiment,"CodeGen, GPT-3.5 series models, InstructGPT, ChatGPT, Codex",RQ6,"Code generation performance, Solved rate","• CodeGen and Codex are sensitive to superficial modifications, impacting performance.
• Codex relies on variable names; randomized variables decrease solved rate.
• SOTA models (InstructGPT, ChatGPT) show higher robustness to modifications.","Highly capable of solving a wide range of programming problems, Outstanding capability for solving programming problems",Preprint,109.6
E050,Rabimba Karanjai Edward Li Lei Xu Weidong Shi (2023) [E050],Who is Smarter? An Empirical Study of AI-Based Smart Contract Creation,"Rabimba Karanjai
Edward Li
Lei Xu
Weidong Shi",2023.0,Journal Article,,IEEE,10.1109/brains59668.2023.10316829,https://scispace.com/paper/who-is-smarter-an-empirical-study-of-ai-based-smart-contract-57nn14o6e2,Other (specify): Experimental Study,"ChatGPT, Google Palm2","RQ2, RQ5, RQ6, RQ7","validity, correctness, efficiency, security bugs, quality","• Crucial evidence of security bugs introduced in generated smart contracts.
• Overall quality and correctness of generated code are impacted.
• Areas for improvement in AI-based smart contract creation were identified.",Not reported,Unclear,109.2
E051,Shin (2025) [E051],BloomAPR: A Bloom's Taxonomy-based Framework for Assessing the Capabilities of LLM-Powered APR Solutions,"Shin, Jiho
Ming Zhen
Jiang
Wang Song
Khomh, Foutse
Tan, Shin Hwei",2025.0,Journal Article,,arXiv,10.48550/arxiv.2509.25465,https://scispace.com/paper/bloomapr-a-bloom-s-taxonomy-based-framework-for-assessing-dozcndbskdmp,Case Study,"ChatRepair, CigaR, GPT-3.5-Turbo, Llama-3.1, StarCoder-2","RQ3, RQ5, RQ6, RQ7","Percentage of bugs fixed, Performance increase with synthetically generated bugs, Percentage of bugs fixed for minor syntactic changes, Percentage of bugs solved when injected into real-world projects","• Solutions show basic reasoning, fixing up to 81.57% at Remember layer.
• Performance increases with synthetic bugs (up to 60.66% at Understand layer).
• Solutions struggle with minor syntactic changes (43.32% at Apply layer) and real-world projects (13.46% to 41.34% at Analyze layer).",Not reported,Preprint,109.1
E052,Tristan Coignion Clément Quinton Romain Rouvoy (2024) [E052],A performance study of llm-generated code on leetcode,"Tristan Coignion
Clément Quinton
Romain Rouvoy",2024.0,Journal Article,,ACM,10.1145/3661167.3661221,https://scispace.com/paper/a-performance-study-of-llm-generated-code-on-leetcode-1cpci4fvyt,Observational Study,Not specified,"RQ2, RQ3, RQ5, RQ6","Efficiency, Performance, Model temperature, Success rate, Speed","• LLMs generate code with comparable performance across different models.
• LLM-generated code is, on average, more efficient than human-written code.
• The study discusses Leetcode as a benchmark, data contamination, and measurement reliability.","LLMs produce code with comparable performance to human-crafted solutions, LLM-generated code is, on average, more efficient than human-written code",Unclear,109.0
E054,Hussein Mozannar Valerie Chen Mohammed Alsobay Subhro Das Sebastian Zhao Dennis Wei Manish Nagireddy Prasanna Sattigeri Ameet Talwalkar David Sontag (2024) [E054],The RealHumanEval: Evaluating Large Language Models' Abilities to Support Programmers,"Hussein Mozannar
Valerie Chen
Mohammed Alsobay
Subhro Das
Sebastian Zhao
Dennis Wei
Manish Nagireddy
Prasanna Sattigeri
Ameet Talwalkar
David Sontag",2024.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2404.02806,https://scispace.com/paper/the-realhumaneval-evaluating-large-language-models-abilities-6gfrbiiq9f,Controlled Experiment,General LLMs,"RQ1, RQ3, RQ6","Programmer productivity, time spent coding, static benchmarks, code acceptance rates, copy rates, programmer preferences, actual performance","• Improvements in static benchmark performance lead to increased programmer productivity.
• Gaps between benchmark and human performance are not proportional.
• Programmer preferences do not correlate with their actual performance.",increased programmer productivity,Preprint,108.9
E055,Chunqiu Steven Xia Yinlin Deng Stanley Dunn Lingming Zhang (2024) [E055],Agentless: Demystifying llm-based software engineering agents,"Chunqiu Steven Xia
Yinlin Deng
Stanley Dunn
Lingming Zhang",2024.0,Journal Article,,arXiv,10.48550/arxiv.2407.01489,https://scispace.com/paper/agentless-demystifying-llm-based-software-engineering-agents-zr61tx7byb,Controlled Experiment,Not specified,"RQ4, RQ5, RQ6","Performance, Cost","• Agentless, a simplistic approach, achieved the highest performance (27.33%) and lowest cost ($0.34) on SWE-bench Lite.
• It outperformed all existing open-source software agents, highlighting the potential of simple, interpretable techniques.
• The study identified problematic issues in SWE-bench Lite, leading to the creation of SWE-bench Lite-S for rigorous evaluation.","Highest performance (27.33%), lowest cost (\$0.34), simple, interpretable technique",Preprint,108.9
E053,Siddique (2025) [E053],Understanding Robustness of Model Editing in Code LLMs: An Empirical Study,"Siddique, A. B.
Farooq Umar",2025.0,Journal Article,,arXiv,10.48550/arxiv.2511.03182,https://scispace.com/paper/understanding-robustness-of-model-editing-in-code-llms-an-tatngo4ggxvz,Controlled Experiment,"CodeLlama, CodeQwen1.5, DeepSeek-Coder","RQ2, RQ5, RQ6","Reliability, Generalization, Specificity, Successful compilation, Partial test case pass, Full test pass, Syntactic validity, Functional correctness, Correct adoptions, Faulty adoptions","• Instant edits consistently degrade model performance, with syntactic validity dropping by up to 86 percentage points.
• Sequential edits further amplify degradation, sometimes causing model performance to collapse entirely.
• Correct adoptions of intended changes occurred in only about 6% of cases.",Not reported,Preprint,108.9
E056,Haque (2025) [E056],Comprehension-Performance Gap in GenAI-Assisted Brownfield Programming: A Replication and Extension,"Haque, Summit
Shihab, Md. Istiak Hossain",2025.0,Journal Article,,arXiv,10.48550/arxiv.2511.02922,https://scispace.com/paper/comprehension-performance-gap-in-genai-assisted-brownfield-nb0kvnq0goy9,Controlled Experiment,GitHub Copilot,"RQ1, RQ4, RQ6","Task time, Number of test cases passed, Comprehension scores","• Copilot significantly reduced task time and increased test cases passed.
• Comprehension scores did not differ, revealing a comprehension-performance gap.
• GenAI tools accelerate progress without improving codebase understanding.","Reduced task time, Increased number of test cases passed",Preprint,108.6
E057,Jenny T. Liang Chenyang Yang Brad A. Myers (2024) [E057],A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges,"Jenny T. Liang
Chenyang Yang
Brad A. Myers",2024.0,Journal Article,,ACM,10.1145/3597503.3608128,https://scispace.com/paper/a-large-scale-survey-on-the-usability-of-ai-programming-4jqn2dwqqp,Survey,GitHub Copilot,"RQ4, RQ5, RQ6","Key-strokes reduced, Programming tasks finished quickly, Functional requirements, Non-functional requirements, Control over desired output","• Developers use AI assistants to reduce keystrokes, finish tasks quickly, and recall syntax.
• AI assistants are less effective for brainstorming solutions.
• Key challenges include not meeting functional/non-functional requirements and difficulty controlling output.","reduce key-strokes, finish programming tasks quickly, recall syntax",Unclear,108.6
E058,Tan Khang Le Saba Alimadadi Steven Y. Ko (2024) [E058],A Study of Vulnerability Repair in JavaScript Programs with Large Language Models,"Tan Khang Le
Saba Alimadadi
Steven Y. Ko",2024.0,Journal Article,,ACM,10.1145/3589335.3651463,https://scispace.com/paper/a-study-of-vulnerability-repair-in-javascript-programs-with-59m5kcwok1,Other (specify: Experimental Study),"ChatGPT, Bard","RQ2, RQ5","Accuracy, Correct patch, Correct bug fix","• LLMs show promise in automatic program repair for JavaScript code.
• Correct bug fixes often require appropriate context in the prompt.
• The study investigated LLM accuracy in finding and fixing JavaScript security vulnerabilities.","Potential for automatic code generation, Automatic bug fixing, Promising in automatic program repair of JavaScript code",Unclear,108.6
E059,Ningzhi Tang Meng Chen Ning Zheng Aakash Bansal Yu Huang Collin McMillan Toby Jia-Jun Li (2024) [E059],"A Study on Developer Behaviors for Validating and Repairing
  LLM-Generated Code Using Eye Tracking and IDE Actions","Ningzhi Tang
Meng Chen
Ning Zheng
Aakash Bansal
Yu Huang
Collin McMillan
Toby Jia-Jun Li",2024.0,Preprint,,arXiv,10.48550/arxiv.2405.16081,https://scispace.com/paper/a-study-on-developer-behaviors-for-validating-and-repairing-2u12pmjtcu,Controlled Experiment,GitHub Copilot,RQ6,"IDE interactions, eye-tracking, cognitive workload, performance, search efforts, Copilot usage","• Developers often fail to identify LLM-generated code without explicit information.
• Validation strategies are similar, but specific behaviors like frequent switching and rewriting occur.
• Provenance awareness improves performance, increases search efforts, Copilot usage, and cognitive workload.","Improved performance, increased search efforts, more frequent Copilot usage",Preprint,108.1
E060,Xin Tan Xiao Long Xianjun Ni Yinghao Zhu Jing Jiang Li Zhang (2024) [E060],How far are AI-powered programming assistants from meeting developers' needs?,"Xin Tan
Xiao Long
Xianjun Ni
Yinghao Zhu
Jing Jiang
Li Zhang",2024.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2404.12000,https://scispace.com/paper/how-far-are-ai-powered-programming-assistants-from-meeting-hm02l5ln7l,Mixed Methods,GitHub Copilot,"RQ1, RQ2, RQ4, RQ5, RQ6","Task completion rates, Time, Code quality, Self-perceived productivity","• ACATs generally enhance task completion, reduce time, improve code quality, and increase self-perceived productivity.
• Effectiveness is influenced by task nature and user experience; experienced users may see increased completion time.
• Reasons for modifying recommended code include output format disparities, flawed logic, and inconsistent styles.","Enhanced task completion rates, Reduced time, Improved code quality, Increased self-perceived productivity",Preprint,108.1
E061,Domenico Cotroneo Cristina M. Improta Pietro Liguori (2025) [E061],"Human-Written vs. AI-Generated Code: A Large-Scale Study of Defects, Vulnerabilities, and Complexity","Domenico Cotroneo
Cristina M. Improta
Pietro Liguori",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2508.21634,https://scispace.com/paper/human-written-vs-ai-generated-code-a-large-scale-study-of-3i8dd753fvmp,Observational Study,"ChatGPT, DeepSeek-Coder, Qwen-Coder","RQ2, RQ5, RQ6","Code defects, Security vulnerabilities, Structural complexity","• AI-generated code is simpler, more repetitive, prone to unused constructs, and hardcoded debugging.
• AI-generated code contains more high-risk security vulnerabilities.
• Human-written code shows greater structural complexity and more maintainability issues.",Not reported,Preprint,108.0
E063,Sreeharsha Udayashankar Meiyappan Nagappan Samer Al-Kiswany (2023) [E063],Measuring the Runtime Performance of Code Produced with GitHub Copilot,"Sreeharsha Udayashankar
Meiyappan Nagappan
Samer Al-Kiswany",2023.0,Journal Article,arXiv.org,arXiv,10.48550/arXiv.2305.06439,https://scispace.com/paper/measuring-the-runtime-performance-of-code-produced-with-3pxgtndm,Controlled Experiment,GitHub Copilot,"RQ2, RQ6",Runtime performance,"• The study evaluated runtime performance of code produced with and without GitHub Copilot.
• Using Copilot may produce code with significantly slower runtime performance.
• A user study with 32 participants solved C++ problems with and without Copilot.",Not reported,Preprint,107.9
E064,Neil Perry Megha Srivastava Deepak Kumar Dan Boneh (2022) [E064],Do Users Write More Insecure Code with AI Assistants?,"Neil Perry
Megha Srivastava
Deepak Kumar
Dan Boneh",2022.0,Journal Article,arXiv.org,arXiv,10.48550/arXiv.2211.03622,https://scispace.com/paper/do-users-write-more-insecure-code-with-ai-assistants-u1hyen8s,Controlled Experiment,OpenAI’s codex-davinci-002 model,RQ5,"Code security, Security vulnerabilities, Belief in code security, Trust in AI, Language and interaction behavior","• AI assistant users wrote significantly less secure code.
• AI assistant users were more likely to believe their code was secure.
• Less trust in AI and more prompt engagement led to fewer vulnerabilities.",Not reported,Preprint,107.9
E062,Valerie Chen Ameet Talwalkar Robert Brennan Graham Neubig (2025) [E062],Code with Me or for Me? How Increasing AI Automation Transforms Developer Workflows,"Valerie Chen
Ameet Talwalkar
Robert Brennan
Graham Neubig",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2507.08149,https://scispace.com/paper/code-with-me-or-for-me-how-increasing-ai-automation-ofj44i3snkhz,Observational Study,"GitHub Copilot, OpenHands","RQ1, RQ4, RQ5","User productivity, User experience, Task completion, User effort","*   Agents can surpass copilots in task completion and reduce user effort.
*   Challenges for agent adoption include ensuring user understanding of agent behaviors.
*   Developer workflows change, and interactions with agents differ from copilots.","Surpassing copilots in task completion, completing tasks humans might not have accomplished, reducing user effort required to complete tasks",Preprint,107.9
E065,Justin D. Weisz Santhi Kumar Michael Müller Karen-Ellen Browne Arielle Goldberg Ellice Heintze S. P. Bajpai (2024) [E065],"Examining the Use and Impact of an AI Code Assistant on Developer
  Productivity and Experience in the Enterprise","Justin D. Weisz
Santhi Kumar
Michael Müller
Karen-Ellen Browne
Arielle Goldberg
Ellice Heintze
S. P. Bajpai",2024.0,Journal Article,,arXiv,10.48550/arxiv.2412.06603,https://scispace.com/paper/examining-the-use-and-impact-of-an-ai-code-assistant-on-h8zoxpuj7u3e,Mixed Methods,watsonx Code Assistant (WCA),"RQ1, RQ4, RQ5, RQ6","Productivity, Speed, Quality, Perceptions of productivity","• AI code assistants often provide net productivity increases, but not for all users.
• The study identified considerations regarding ownership and responsibility for generated code.
• Developers' expectations of speed and quality were examined.",Net productivity increases,Preprint,107.8
E066,Arthur Pilone (2025) [E066],Ensuring Code Integrity in the Era of AI-Assisted Software Development,Arthur Pilone,2025.0,Journal Article,,IEEE,10.1109/icsme64153.2025.00095,https://scispace.com/paper/ensuring-code-integrity-in-the-era-of-ai-assisted-software-obi5y0udzw1s,Mixed Methods,Not specified,"RQ2, RQ5, RQ6","Functional requirements, Non-functional requirements, Architectural cohesion, Comprehensibility of the source code","• AI-written code presents limitations: longer, more complex, worse performing, and more vulnerable.
• Impact of AI-written code on long-term maintenance and evolution is unclear.
• This project investigates AI-written code's impact on functional/non-functional requirements, architectural cohesion, and comprehensibility.",Productivity benefits,Unclear,107.6
E067,Nicholas Gardella Raymond Pettit Sara L. Riggs (2024) [E067],"Performance, Workload, Emotion, and Self-Efficacy of Novice Programmers Using AI Code Generation","Nicholas Gardella
Raymond Pettit
Sara L. Riggs",2024.0,Journal Article,,ACM,10.1145/3649217.3653615,https://scispace.com/paper/performance-workload-emotion-and-self-efficacy-of-novice-5ciyse1cee,Controlled Experiment,GitHub Copilot,"RQ1, RQ4, RQ6","Programming efficiency, Effort, Mental workload, Emotion, Self-efficacy, Performance","• AIDE increased programming efficiency, reduced effort and mental workload.
• AIDE did not significantly impact emotion or self-efficacy.
• Performance and self-efficacy improved with more AI experience.","Increased programming efficiency, Reduced effort, Reduced mental workload, Improved performance with experience, Increased self-efficacy with experience",Unclear,107.6
E068,Philipp Eibl Sadra Sabouri Souti Chattopadhyay (2025) [E068],Exploring the Challenges and Opportunities of AI-assisted Codebase Generation,"Philipp Eibl
Sadra Sabouri
Souti Chattopadhyay",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2508.07966,https://scispace.com/paper/exploring-the-challenges-and-opportunities-of-ai-assisted-utb0ekxg87mi,Mixed Methods,Not specified,"RQ2, RQ5, RQ6, RQ7","Satisfaction score, Functionality, Code quality, Communication issues","• Overall satisfaction with generated codebases was low (mean = 2.8, median = 3).
• Functionality (77%), poor code quality (42%), and communication issues (25%) caused dissatisfaction.
• Six challenges and five barriers to incorporating CBAs into workflows were identified.","Improved ability to process complex contexts, Generate entire codebases, Extend or adapt codebases, Allowing users to focus on higher-level design and deployment decisions",Preprint,107.5
E069,Andrei Sobo Abdul Mubarak Almas Baimagambetov Nikolaos Polatidis (2024) [E069],"Evaluating LLMs for code generation in HRI: A comparative study of ChatGPT, gemini, and claude","Andrei Sobo
Abdul Mubarak
Almas Baimagambetov
Nikolaos Polatidis",2024.0,Journal Article,Applied Artificial Intelligence,Other verified,10.1080/08839514.2024.2439610,https://scispace.com/paper/evaluating-llms-for-code-generation-in-hri-a-comparative-11fvspfuqr28,Controlled Experiment,"ChatGPT 3.5, Gemini 1.5 Pro, Claude 3.5 Sonnet","RQ2, RQ5, RQ6","Accurate code, Context-aware code, Success rate","• Claude 3.5 Sonnet achieved a 95% success rate, outperforming Gemini 1.5 Pro (60%) and ChatGPT 3.5 (20%).
• LLMs show rapid advancement but face challenges in spatial reasoning and constraint adherence.
• Promising applications exist for LLMs in robotics development, requiring human oversight and specialized training.",Promising applications for LLMs in robotics development and education,Unclear,107.5
E070,Shahin Honarvar Mark van der Wilk Alastair Donaldson (2023) [E070],Turbulence: Systematically and Automatically Testing Instruction-Tuned Large Language Models for Code,"Shahin Honarvar
Mark van der Wilk
Alastair Donaldson",2023.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2312.14856,https://scispace.com/paper/turbulence-systematically-and-automatically-testing-2nomm8irmj,Other (specify): Systematic Evaluation with Experiments,"LLMs from OpenAI, Cohere, and Meta","RQ2, RQ6","Correctness, Robustness","• Turbulence reveals gaps in LLM reasoning ability for code generation.
• The method highlights robustness issues in LLMs.
• LLMs fail to generalize across similar programming questions, showing anomalies.",Not reported,Preprint,107.5
